cust_id;date;mortgage_id;amount
445003063236;14.01.2020;6105353648;215000.0
444004554360;21.01.2020;6105379787;100000.0
445001168663;22.01.2020;6105387703;144000.0
445009674752;24.01.2020;6105395539;80000.0
445005240964;29.01.2020;6105412109;80000.0
444004828116;04.02.2020;6105434548;180938.02
007282485826;19.02.2020;6105515777;200000.0
445009755671;19.02.2020;6105513275;150000.0
445009690244;03.03.2020;6105574450;250000.0
000142592919;20.02.2020;6105518300;50000.0
007284433282;19.03.2020;6105656674;220000.0
445001252452;02.01.2020;6105297397;180000.0
445009587932;03.01.2020;6105305370;150000.0
445008731357;03.01.2020;6105304012;200000.0
445009590190;06.01.2020;6105314446;50000.0
007274091212;10.01.2020;6105341912;97500.0
444004948062;09.01.2020;6105335518;120900.0
007282593835;10.01.2020;6105340896;400000.0
007288314408;14.01.2020;6105353823;115000.0
444005834776;10.01.2020;6105339057;175000.0
445001258227;14.01.2020;6105353081;136000.0
444005595868;15.01.2020;6105360523;300000.0
445008717293;20.01.2020;6105375467;105000.0
445002718721;17.01.2020;6105371375;83000.0
444002714358;21.01.2020;6105381448;200000.0
445005997417;23.01.2020;6105390301;198000.0
444005545426;21.01.2020;6105380924;625000.0
445000179045;24.01.2020;6105395926;112500.0
445009642463;27.01.2020;6105401669;86250.0
445009660512;27.01.2020;6105399393;127500.0
007284605770;28.01.2020;6105407358;750000.0
445000492864;29.01.2020;6105409815;142500.0
445007154966;29.01.2020;6105410273;190000.0
445006440189;29.01.2020;6105412198;300000.0
001844794047;31.01.2020;6105421485;130000.0
445009591662;02.01.2020;6105298981;122400.0
007284613528;02.01.2020;6105298870;200000.0
445005822902;31.01.2020;6105420892;80000.0
445009596752;02.01.2020;6105298982;100000.0
445005100591;02.01.2020;6105298980;67000.0
444003745074;02.01.2020;6105299010;150000.0
445004098567;02.01.2020;6105298959;200000.0
445007627121;02.01.2020;6105298688;159000.0
445005716348;02.01.2020;6105298891;160000.0
007287417197;02.01.2020;6105298771;140000.0
445003365390;02.01.2020;6105298787;185000.0
444004608640;02.01.2020;6105298824;100000.0
444004971667;02.01.2020;6105298789;203000.0
445004170299;02.01.2020;6105298690;96000.0
445009585332;02.01.2020;6105298815;160000.0
445009577747;02.01.2020;6105298657;92000.0
445009587003;02.01.2020;6105298655;90000.0
445009610090;02.01.2020;6105298667;112000.0
445002723881;02.01.2020;6105298814;180000.0
007281266843;02.01.2020;6105298804;180000.0
000149877332;02.01.2020;6105298436;120000.0
445003446797;02.01.2020;6105298595;155000.0
445009587302;02.01.2020;6105298250;430000.0
445009592384;02.01.2020;6105298408;195000.0
007272607600;02.01.2020;6105298224;392000.0
445000365044;02.01.2020;6105298492;212000.0
444001468517;02.01.2020;6105298327;248000.0
445009593735;02.01.2020;6105298435;115000.0
007260754859;02.01.2020;6105298412;250000.0
445004583065;02.01.2020;6105298461;272000.0
445009607511;02.01.2020;6105298248;160000.0
444004302951;02.01.2020;6105298437;184000.0
445009378762;02.01.2020;6105298316;78000.0
007276802847;02.01.2020;6105298380;130000.0
